sample_id,file_path,category,subcategory,instrument,tags,duration,sample_rate,source,source_id,license,pitch,dynamic,technique,description
nature_human_speech_0025,data/corpus/nature/human/nature_human_speech_0025.wav,nature,human,speech,speech;clean;read,1.91,22050,LibriSpeech,1272-135031-0009.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1272-135031
nature_human_speech_0026,data/corpus/nature/human/nature_human_speech_0026.wav,nature,human,speech,speech;clean;read,8.995,22050,LibriSpeech,1272-135031-0010.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1272-135031
nature_human_speech_0027,data/corpus/nature/human/nature_human_speech_0027.wav,nature,human,speech,speech;clean;read,3.18,22050,LibriSpeech,1272-135031-0011.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1272-135031
nature_human_speech_0028,data/corpus/nature/human/nature_human_speech_0028.wav,nature,human,speech,speech;clean;read,2.04,22050,LibriSpeech,1272-135031-0012.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1272-135031
nature_human_speech_0029,data/corpus/nature/human/nature_human_speech_0029.wav,nature,human,speech,speech;clean;read,3.7,22050,LibriSpeech,1272-135031-0013.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1272-135031
nature_human_speech_0030,data/corpus/nature/human/nature_human_speech_0030.wav,nature,human,speech,speech;clean;read,1.74,22050,LibriSpeech,1272-135031-0014.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1272-135031
nature_human_speech_0031,data/corpus/nature/human/nature_human_speech_0031.wav,nature,human,speech,speech;clean;read,7.375,22050,LibriSpeech,1272-135031-0015.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1272-135031
nature_human_speech_0032,data/corpus/nature/human/nature_human_speech_0032.wav,nature,human,speech,speech;clean;read,2.28,22050,LibriSpeech,1272-135031-0016.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1272-135031
nature_human_speech_0033,data/corpus/nature/human/nature_human_speech_0033.wav,nature,human,speech,speech;clean;read,6.86,22050,LibriSpeech,1272-135031-0017.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1272-135031
nature_human_speech_0034,data/corpus/nature/human/nature_human_speech_0034.wav,nature,human,speech,speech;clean;read,2.445,22050,LibriSpeech,1272-135031-0018.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1272-135031
nature_human_speech_0035,data/corpus/nature/human/nature_human_speech_0035.wav,nature,human,speech,speech;clean;read,3.525,22050,LibriSpeech,1272-135031-0019.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1272-135031
nature_human_speech_0036,data/corpus/nature/human/nature_human_speech_0036.wav,nature,human,speech,speech;clean;read,4.65,22050,LibriSpeech,1272-135031-0020.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1272-135031
nature_human_speech_0037,data/corpus/nature/human/nature_human_speech_0037.wav,nature,human,speech,speech;clean;read,2.595,22050,LibriSpeech,1272-135031-0021.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1272-135031
nature_human_speech_0038,data/corpus/nature/human/nature_human_speech_0038.wav,nature,human,speech,speech;clean;read,2.695,22050,LibriSpeech,1272-135031-0022.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1272-135031
nature_human_speech_0039,data/corpus/nature/human/nature_human_speech_0039.wav,nature,human,speech,speech;clean;read,7.52,22050,LibriSpeech,1272-135031-0023.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1272-135031
nature_human_speech_0040,data/corpus/nature/human/nature_human_speech_0040.wav,nature,human,speech,speech;clean;read,14.47,22050,LibriSpeech,1272-135031-0024.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1272-135031
nature_human_speech_0041,data/corpus/nature/human/nature_human_speech_0041.wav,nature,human,speech,speech;clean;read,4.65,22050,LibriSpeech,1272-141231-0000.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1272-141231
nature_human_speech_0042,data/corpus/nature/human/nature_human_speech_0042.wav,nature,human,speech,speech;clean;read,6.535,22050,LibriSpeech,1272-141231-0001.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1272-141231
nature_human_speech_0043,data/corpus/nature/human/nature_human_speech_0043.wav,nature,human,speech,speech;clean;read,13.335,22050,LibriSpeech,1272-141231-0002.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1272-141231
nature_human_speech_0044,data/corpus/nature/human/nature_human_speech_0044.wav,nature,human,speech,speech;clean;read,5.42,22050,LibriSpeech,1272-141231-0003.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1272-141231
nature_human_speech_0045,data/corpus/nature/human/nature_human_speech_0045.wav,nature,human,speech,speech;clean;read,5.09,22050,LibriSpeech,1272-141231-0004.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1272-141231
nature_human_speech_0046,data/corpus/nature/human/nature_human_speech_0046.wav,nature,human,speech,speech;clean;read,5.81,22050,LibriSpeech,1272-141231-0005.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1272-141231
nature_human_speech_0047,data/corpus/nature/human/nature_human_speech_0047.wav,nature,human,speech,speech;clean;read,4.93,22050,LibriSpeech,1272-141231-0006.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1272-141231
nature_human_speech_0048,data/corpus/nature/human/nature_human_speech_0048.wav,nature,human,speech,speech;clean;read,4.735,22050,LibriSpeech,1272-141231-0007.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1272-141231
nature_human_speech_0049,data/corpus/nature/human/nature_human_speech_0049.wav,nature,human,speech,speech;clean;read,4.595,22050,LibriSpeech,1272-141231-0008.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1272-141231
nature_human_speech_0050,data/corpus/nature/human/nature_human_speech_0050.wav,nature,human,speech,speech;clean;read,8.62,22050,LibriSpeech,1272-141231-0009.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1272-141231
nature_human_speech_0051,data/corpus/nature/human/nature_human_speech_0051.wav,nature,human,speech,speech;clean;read,10.76,22050,LibriSpeech,1272-141231-0010.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1272-141231
nature_human_speech_0052,data/corpus/nature/human/nature_human_speech_0052.wav,nature,human,speech,speech;clean;read,5.015,22050,LibriSpeech,1272-141231-0011.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1272-141231
nature_human_speech_0053,data/corpus/nature/human/nature_human_speech_0053.wav,nature,human,speech,speech;clean;read,7.74,22050,LibriSpeech,1272-141231-0012.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1272-141231
nature_human_speech_0054,data/corpus/nature/human/nature_human_speech_0054.wav,nature,human,speech,speech;clean;read,1.64,22050,LibriSpeech,1272-141231-0013.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1272-141231
nature_human_speech_0055,data/corpus/nature/human/nature_human_speech_0055.wav,nature,human,speech,speech;clean;read,7.305,22050,LibriSpeech,1272-141231-0014.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1272-141231
nature_human_speech_0056,data/corpus/nature/human/nature_human_speech_0056.wav,nature,human,speech,speech;clean;read,5.68,22050,LibriSpeech,1272-141231-0015.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1272-141231
nature_human_speech_0057,data/corpus/nature/human/nature_human_speech_0057.wav,nature,human,speech,speech;clean;read,1.85,22050,LibriSpeech,1272-141231-0016.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1272-141231
nature_human_speech_0058,data/corpus/nature/human/nature_human_speech_0058.wav,nature,human,speech,speech;clean;read,3.735,22050,LibriSpeech,1272-141231-0017.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1272-141231
nature_human_speech_0059,data/corpus/nature/human/nature_human_speech_0059.wav,nature,human,speech,speech;clean;read,6.0,22050,LibriSpeech,1272-141231-0018.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1272-141231
nature_human_speech_0060,data/corpus/nature/human/nature_human_speech_0060.wav,nature,human,speech,speech;clean;read,4.7,22050,LibriSpeech,1272-141231-0019.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1272-141231
nature_human_speech_0061,data/corpus/nature/human/nature_human_speech_0061.wav,nature,human,speech,speech;clean;read,4.32,22050,LibriSpeech,1272-141231-0020.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1272-141231
nature_human_speech_0062,data/corpus/nature/human/nature_human_speech_0062.wav,nature,human,speech,speech;clean;read,4.65,22050,LibriSpeech,1272-141231-0021.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1272-141231
nature_human_speech_0063,data/corpus/nature/human/nature_human_speech_0063.wav,nature,human,speech,speech;clean;read,8.35,22050,LibriSpeech,1272-141231-0022.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1272-141231
nature_human_speech_0064,data/corpus/nature/human/nature_human_speech_0064.wav,nature,human,speech,speech;clean;read,8.66,22050,LibriSpeech,1272-141231-0023.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1272-141231
nature_human_speech_0065,data/corpus/nature/human/nature_human_speech_0065.wav,nature,human,speech,speech;clean;read,3.64,22050,LibriSpeech,1272-141231-0024.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1272-141231
nature_human_speech_0066,data/corpus/nature/human/nature_human_speech_0066.wav,nature,human,speech,speech;clean;read,8.725,22050,LibriSpeech,1272-141231-0025.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1272-141231
nature_human_speech_0067,data/corpus/nature/human/nature_human_speech_0067.wav,nature,human,speech,speech;clean;read,6.635,22050,LibriSpeech,1272-141231-0026.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1272-141231
nature_human_speech_0068,data/corpus/nature/human/nature_human_speech_0068.wav,nature,human,speech,speech;clean;read,6.57,22050,LibriSpeech,1272-141231-0027.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1272-141231
nature_human_speech_0069,data/corpus/nature/human/nature_human_speech_0069.wav,nature,human,speech,speech;clean;read,5.65,22050,LibriSpeech,1272-141231-0028.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1272-141231
nature_human_speech_0070,data/corpus/nature/human/nature_human_speech_0070.wav,nature,human,speech,speech;clean;read,6.88,22050,LibriSpeech,1272-141231-0029.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1272-141231
nature_human_speech_0071,data/corpus/nature/human/nature_human_speech_0071.wav,nature,human,speech,speech;clean;read,7.13,22050,LibriSpeech,1272-141231-0030.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1272-141231
nature_human_speech_0072,data/corpus/nature/human/nature_human_speech_0072.wav,nature,human,speech,speech;clean;read,7.115,22050,LibriSpeech,1272-141231-0031.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1272-141231
nature_human_speech_0073,data/corpus/nature/human/nature_human_speech_0073.wav,nature,human,speech,speech;clean;read,4.48,22050,LibriSpeech,1272-141231-0032.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1272-141231
nature_human_speech_0074,data/corpus/nature/human/nature_human_speech_0074.wav,nature,human,speech,speech;clean;read,14.55,22050,LibriSpeech,1462-170138-0000.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1462-170138
nature_human_speech_0075,data/corpus/nature/human/nature_human_speech_0075.wav,nature,human,speech,speech;clean;read,3.985,22050,LibriSpeech,1462-170138-0001.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1462-170138
nature_human_speech_0076,data/corpus/nature/human/nature_human_speech_0076.wav,nature,human,speech,speech;clean;read,4.645,22050,LibriSpeech,1462-170138-0002.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1462-170138
nature_human_speech_0077,data/corpus/nature/human/nature_human_speech_0077.wav,nature,human,speech,speech;clean;read,2.32,22050,LibriSpeech,1462-170138-0003.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1462-170138
nature_human_speech_0078,data/corpus/nature/human/nature_human_speech_0078.wav,nature,human,speech,speech;clean;read,2.51,22050,LibriSpeech,1462-170138-0004.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1462-170138
nature_human_speech_0079,data/corpus/nature/human/nature_human_speech_0079.wav,nature,human,speech,speech;clean;read,13.165,22050,LibriSpeech,1462-170138-0005.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1462-170138
nature_human_speech_0080,data/corpus/nature/human/nature_human_speech_0080.wav,nature,human,speech,speech;clean;read,8.58,22050,LibriSpeech,1462-170138-0006.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1462-170138
nature_human_speech_0081,data/corpus/nature/human/nature_human_speech_0081.wav,nature,human,speech,speech;clean;read,5.255,22050,LibriSpeech,1462-170138-0007.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1462-170138
nature_human_speech_0082,data/corpus/nature/human/nature_human_speech_0082.wav,nature,human,speech,speech;clean;read,6.32,22050,LibriSpeech,1462-170138-0008.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1462-170138
nature_human_speech_0083,data/corpus/nature/human/nature_human_speech_0083.wav,nature,human,speech,speech;clean;read,2.505,22050,LibriSpeech,1462-170138-0009.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1462-170138
nature_human_speech_0084,data/corpus/nature/human/nature_human_speech_0084.wav,nature,human,speech,speech;clean;read,8.615,22050,LibriSpeech,1462-170138-0010.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1462-170138
nature_human_speech_0085,data/corpus/nature/human/nature_human_speech_0085.wav,nature,human,speech,speech;clean;read,11.42,22050,LibriSpeech,1462-170138-0011.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1462-170138
nature_human_speech_0086,data/corpus/nature/human/nature_human_speech_0086.wav,nature,human,speech,speech;clean;read,3.86,22050,LibriSpeech,1462-170138-0012.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1462-170138
nature_human_speech_0087,data/corpus/nature/human/nature_human_speech_0087.wav,nature,human,speech,speech;clean;read,7.02,22050,LibriSpeech,1462-170138-0013.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1462-170138
nature_human_speech_0088,data/corpus/nature/human/nature_human_speech_0088.wav,nature,human,speech,speech;clean;read,4.92,22050,LibriSpeech,1462-170138-0014.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1462-170138
nature_human_speech_0089,data/corpus/nature/human/nature_human_speech_0089.wav,nature,human,speech,speech;clean;read,3.38,22050,LibriSpeech,1462-170138-0015.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1462-170138
nature_human_speech_0090,data/corpus/nature/human/nature_human_speech_0090.wav,nature,human,speech,speech;clean;read,3.43,22050,LibriSpeech,1462-170138-0016.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1462-170138
nature_human_speech_0091,data/corpus/nature/human/nature_human_speech_0091.wav,nature,human,speech,speech;clean;read,6.21,22050,LibriSpeech,1462-170138-0017.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1462-170138
nature_human_speech_0092,data/corpus/nature/human/nature_human_speech_0092.wav,nature,human,speech,speech;clean;read,4.405,22050,LibriSpeech,1462-170138-0018.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1462-170138
nature_human_speech_0093,data/corpus/nature/human/nature_human_speech_0093.wav,nature,human,speech,speech;clean;read,3.555,22050,LibriSpeech,1462-170138-0019.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1462-170138
nature_human_speech_0094,data/corpus/nature/human/nature_human_speech_0094.wav,nature,human,speech,speech;clean;read,2.35,22050,LibriSpeech,1462-170138-0020.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1462-170138
nature_human_speech_0095,data/corpus/nature/human/nature_human_speech_0095.wav,nature,human,speech,speech;clean;read,9.645,22050,LibriSpeech,1462-170138-0021.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1462-170138
nature_human_speech_0096,data/corpus/nature/human/nature_human_speech_0096.wav,nature,human,speech,speech;clean;read,6.185,22050,LibriSpeech,1462-170138-0022.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1462-170138
nature_human_speech_0097,data/corpus/nature/human/nature_human_speech_0097.wav,nature,human,speech,speech;clean;read,9.5,22050,LibriSpeech,1462-170138-0023.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1462-170138
nature_human_speech_0098,data/corpus/nature/human/nature_human_speech_0098.wav,nature,human,speech,speech;clean;read,16.35,22050,LibriSpeech,1462-170138-0024.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1462-170138
nature_human_speech_0099,data/corpus/nature/human/nature_human_speech_0099.wav,nature,human,speech,speech;clean;read,4.44,22050,LibriSpeech,1462-170138-0025.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1462-170138
nature_human_speech_0100,data/corpus/nature/human/nature_human_speech_0100.wav,nature,human,speech,speech;clean;read,2.385,22050,LibriSpeech,1462-170138-0026.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1462-170138
nature_human_speech_0101,data/corpus/nature/human/nature_human_speech_0101.wav,nature,human,speech,speech;clean;read,5.005,22050,LibriSpeech,1462-170138-0027.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1462-170138
nature_human_speech_0102,data/corpus/nature/human/nature_human_speech_0102.wav,nature,human,speech,speech;clean;read,4.715,22050,LibriSpeech,1462-170142-0000.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1462-170142
nature_human_speech_0103,data/corpus/nature/human/nature_human_speech_0103.wav,nature,human,speech,speech;clean;read,9.585,22050,LibriSpeech,1462-170142-0001.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1462-170142
nature_human_speech_0104,data/corpus/nature/human/nature_human_speech_0104.wav,nature,human,speech,speech;clean;read,6.45,22050,LibriSpeech,1462-170142-0002.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1462-170142
nature_human_speech_0105,data/corpus/nature/human/nature_human_speech_0105.wav,nature,human,speech,speech;clean;read,2.37,22050,LibriSpeech,1462-170142-0003.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1462-170142
nature_human_speech_0106,data/corpus/nature/human/nature_human_speech_0106.wav,nature,human,speech,speech;clean;read,7.255,22050,LibriSpeech,1462-170142-0004.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1462-170142
nature_human_speech_0107,data/corpus/nature/human/nature_human_speech_0107.wav,nature,human,speech,speech;clean;read,11.08,22050,LibriSpeech,1462-170142-0005.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1462-170142
nature_human_speech_0108,data/corpus/nature/human/nature_human_speech_0108.wav,nature,human,speech,speech;clean;read,6.195,22050,LibriSpeech,1462-170142-0006.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1462-170142
nature_human_speech_0109,data/corpus/nature/human/nature_human_speech_0109.wav,nature,human,speech,speech;clean;read,2.44,22050,LibriSpeech,1462-170142-0007.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1462-170142
nature_human_speech_0110,data/corpus/nature/human/nature_human_speech_0110.wav,nature,human,speech,speech;clean;read,4.81,22050,LibriSpeech,1462-170142-0008.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1462-170142
nature_human_speech_0111,data/corpus/nature/human/nature_human_speech_0111.wav,nature,human,speech,speech;clean;read,6.335,22050,LibriSpeech,1462-170142-0009.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1462-170142
nature_human_speech_0112,data/corpus/nature/human/nature_human_speech_0112.wav,nature,human,speech,speech;clean;read,4.58,22050,LibriSpeech,1462-170142-0010.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1462-170142
nature_human_speech_0113,data/corpus/nature/human/nature_human_speech_0113.wav,nature,human,speech,speech;clean;read,3.26,22050,LibriSpeech,1462-170142-0011.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1462-170142
nature_human_speech_0114,data/corpus/nature/human/nature_human_speech_0114.wav,nature,human,speech,speech;clean;read,6.67,22050,LibriSpeech,1462-170142-0012.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1462-170142
nature_human_speech_0115,data/corpus/nature/human/nature_human_speech_0115.wav,nature,human,speech,speech;clean;read,3.9,22050,LibriSpeech,1462-170142-0013.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1462-170142
nature_human_speech_0116,data/corpus/nature/human/nature_human_speech_0116.wav,nature,human,speech,speech;clean;read,2.55,22050,LibriSpeech,1462-170142-0014.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1462-170142
nature_human_speech_0117,data/corpus/nature/human/nature_human_speech_0117.wav,nature,human,speech,speech;clean;read,3.01,22050,LibriSpeech,1462-170142-0015.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1462-170142
nature_human_speech_0118,data/corpus/nature/human/nature_human_speech_0118.wav,nature,human,speech,speech;clean;read,6.24,22050,LibriSpeech,1462-170142-0016.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1462-170142
nature_human_speech_0119,data/corpus/nature/human/nature_human_speech_0119.wav,nature,human,speech,speech;clean;read,2.315,22050,LibriSpeech,1462-170142-0017.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1462-170142
nature_human_speech_0120,data/corpus/nature/human/nature_human_speech_0120.wav,nature,human,speech,speech;clean;read,3.265,22050,LibriSpeech,1462-170142-0018.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1462-170142
nature_human_speech_0121,data/corpus/nature/human/nature_human_speech_0121.wav,nature,human,speech,speech;clean;read,10.245,22050,LibriSpeech,1462-170142-0019.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1462-170142
nature_human_speech_0122,data/corpus/nature/human/nature_human_speech_0122.wav,nature,human,speech,speech;clean;read,4.945,22050,LibriSpeech,1462-170142-0020.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1462-170142
nature_human_speech_0123,data/corpus/nature/human/nature_human_speech_0123.wav,nature,human,speech,speech;clean;read,8.17,22050,LibriSpeech,1462-170142-0021.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1462-170142
nature_human_speech_0124,data/corpus/nature/human/nature_human_speech_0124.wav,nature,human,speech,speech;clean;read,3.76,22050,LibriSpeech,1462-170142-0022.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1462-170142
nature_human_speech_0125,data/corpus/nature/human/nature_human_speech_0125.wav,nature,human,speech,speech;clean;read,2.81,22050,LibriSpeech,1462-170142-0023.flac,CC-BY 4.0,,,,clean speech from LibriSpeech 1462-170142
