sample_id,file_path,category,subcategory,instrument,tags,duration,sample_rate,source,source_id,license,pitch,dynamic,technique,description
music_percussion_drum_0001,data/corpus/music/percussion/music_percussion_drum_0001.wav,music,percussion,drum,Keyboard_(musical);Drum;Musical_instrument;Music;Percussion,21.6,22050,FSD50K,101762.wav,CC-BY,,,,drum from FSD50K (Drum)
music_percussion_marimba_0001,data/corpus/music/percussion/music_percussion_marimba_0001.wav,music,percussion,marimba,Marimba_and_xylophone;Keyboard_(musical);Musical_instrument;Music;Mallet_percussion;Percussion,10.007,22050,FSD50K,101765.wav,CC-BY,,,,marimba from FSD50K (Marimba_and_xylophone)
nature_human_chatter_0003,data/corpus/nature/human/nature_human_chatter_0003.wav,nature,human,chatter,Chatter;Church_bell;Human_group_actions;Bell,13.759,22050,FSD50K,101793.wav,CC-BY,,,,chatter from FSD50K (Chatter)
urban_human_footsteps_0001,data/corpus/urban/human/urban_human_footsteps_0001.wav,urban,human,footsteps,Walk_and_footsteps;Crowd;Human_group_actions,5.92,22050,FSD50K,101794.wav,CC-BY,,,,footsteps from FSD50K (Walk_and_footsteps)
nature_human_chatter_0004,data/corpus/nature/human/nature_human_chatter_0004.wav,nature,human,chatter,Chatter;Sawing;Human_group_actions;Tools,4.587,22050,FSD50K,101796.wav,CC-BY,,,,chatter from FSD50K (Chatter)
nature_human_speech_male_0003,data/corpus/nature/human/nature_human_speech_male_0003.wav,nature,human,speech_male,Male_speech_and_man_speaking;Male_singing;Speech;Human_voice;Singing,11.001,22050,FSD50K,101797.wav,CC-BY,,,,speech_male from FSD50K (Male_speech_and_man_speaking)
urban_impact_coin_0001,data/corpus/urban/impact/urban_impact_coin_0001.wav,urban,impact,coin,Coin_(dropping);Chatter;Male_singing;Conversation;Domestic_sounds_and_home_sounds;Human_group_actions;Singing;Human_voice;Speech,13.163,22050,FSD50K,101807.wav,CC-BY,,,,coin from FSD50K (Coin_(dropping))
nature_human_speech_male_0004,data/corpus/nature/human/nature_human_speech_male_0004.wav,nature,human,speech_male,Male_speech_and_man_speaking;Female_speech_and_woman_speaking;Chatter;Conversation;Speech;Human_voice;Human_group_actions,17.628,22050,FSD50K,101811.wav,CC-BY,,,,speech_male from FSD50K (Male_speech_and_man_speaking)
urban_transport_bus_0001,data/corpus/urban/transport/urban_transport_bus_0001.wav,urban,transport,bus,Idling;Bus;Accelerating_and_revving_and_vroom;Engine;Motor_vehicle_(road);Vehicle,12.883,22050,FSD50K,101823.wav,CC-BY,,,,bus from FSD50K (Bus)
nature_human_chatter_0005,data/corpus/nature/human/nature_human_chatter_0005.wav,nature,human,chatter,Chatter;Subway_and_metro_and_underground;Human_group_actions;Rail_transport;Vehicle,18.021,22050,FSD50K,101827.wav,CC-BY,,,,chatter from FSD50K (Chatter)
nature_human_speech_male_0005,data/corpus/nature/human/nature_human_speech_male_0005.wav,nature,human,speech_male,Male_speech_and_man_speaking;Female_speech_and_woman_speaking;Walk_and_footsteps;Chatter;Singing;Speech;Human_voice;Human_group_actions,23.8,22050,FSD50K,101843.wav,CC-BY,,,,speech_male from FSD50K (Male_speech_and_man_speaking)
nature_human_speech_male_0006,data/corpus/nature/human/nature_human_speech_male_0006.wav,nature,human,speech_male,Male_speech_and_man_speaking;Chatter;Clapping;Laughter;Speech;Human_voice;Human_group_actions;Hands,9.417,22050,FSD50K,101846.wav,CC-BY,,,,speech_male from FSD50K (Male_speech_and_man_speaking)
nature_human_speech_male_0007,data/corpus/nature/human/nature_human_speech_male_0007.wav,nature,human,speech_male,Male_speech_and_man_speaking;Female_speech_and_woman_speaking;Chatter;Subway_and_metro_and_underground;Alarm;Speech;Human_voice;Human_group_actions;Rail_transport;Vehicle,15.871,22050,FSD50K,101851.wav,CC-BY,,,,speech_male from FSD50K (Male_speech_and_man_speaking)
music_voice_singing_0001,data/corpus/music/voice/music_voice_singing_0001.wav,music,voice,singing,Singing;Human_voice,23.71,22050,FSD50K,101881.wav,CC-BY,,,,singing from FSD50K (Singing)
nature_weather_thunder_0002,data/corpus/nature/weather/nature_weather_thunder_0002.wav,nature,weather,thunder,Thunder;Rain;Water;Thunderstorm,22.938,22050,FSD50K,101933.wav,CC-BY,,,,thunder from FSD50K (Thunder)
nature_weather_rain_0001,data/corpus/nature/weather/nature_weather_rain_0001.wav,nature,weather,rain,Raindrop;Thunder;Rain;Water;Thunderstorm,25.863,22050,FSD50K,101934.wav,CC-BY,,,,rain from FSD50K (Raindrop)
nature_weather_thunder_0003,data/corpus/nature/weather/nature_weather_thunder_0003.wav,nature,weather,thunder,Thunder;Rain;Water;Thunderstorm,20.968,22050,FSD50K,101948.wav,CC-BY,,,,thunder from FSD50K (Thunder)
nature_human_speech_male_0008,data/corpus/nature/human/nature_human_speech_male_0008.wav,nature,human,speech_male,Male_speech_and_man_speaking;Whispering;Speech;Human_voice,1.284,22050,FSD50K,102308.wav,CC-BY,,,,speech_male from FSD50K (Male_speech_and_man_speaking)
nature_human_shout_0001,data/corpus/nature/human/nature_human_shout_0001.wav,nature,human,shout,Shout;Human_voice,4.733,22050,FSD50K,102437.wav,CC-BY,,,,shout from FSD50K (Shout)
music_string_plucked_guitar_0001,data/corpus/music/string_plucked/music_string_plucked_guitar_0001.wav,music,string_plucked,guitar,Guitar;Plucked_string_instrument;Musical_instrument;Music,23.712,22050,FSD50K,102542.wav,CC-BY,,,,guitar from FSD50K (Guitar)
nature_animal_dog_0002,data/corpus/nature/animal/nature_animal_dog_0002.wav,nature,animal,dog,Bark;Dog;Domestic_animals_and_pets;Animal,21.005,22050,FSD50K,102547.wav,CC-BY,,,,dog from FSD50K (Bark)
nature_animal_mammal_0002,data/corpus/nature/animal/nature_animal_mammal_0002.wav,nature,animal,mammal,Dog;Domestic_animals_and_pets;Animal,18.445,22050,FSD50K,102548.wav,CC-BY,,,,mammal from FSD50K (Dog)
nature_animal_insect_0001,data/corpus/nature/animal/nature_animal_insect_0001.wav,nature,animal,insect,Buzz;Insect;Wild_animals;Animal,0.824,22050,FSD50K,102562.wav,CC-BY,,,,insect from FSD50K (Buzz)
nature_animal_bird_0005,data/corpus/nature/animal/nature_animal_bird_0005.wav,nature,animal,bird,Chirp_and_tweet;Car_passing_by;Traffic_noise_and_roadway_noise;Bird_vocalization_and_bird_call_and_bird_song;Bird;Wild_animals;Animal;Car;Motor_vehicle_(road);Vehicle,24.52,22050,FSD50K,102563.wav,CC-BY,,,,bird from FSD50K (Chirp_and_tweet)
urban_domestic_tick_0002,data/corpus/urban/domestic/urban_domestic_tick_0002.wav,urban,domestic,tick,Tick;Engine;Splash_and_splatter;Liquid,28.591,22050,FSD50K,102568.wav,CC-BY,,,,tick from FSD50K (Tick)
nature_weather_rain_0002,data/corpus/nature/weather/nature_weather_rain_0002.wav,nature,weather,rain,Raindrop;Rain;Water,24.255,22050,FSD50K,102684.wav,CC-BY,,,,rain from FSD50K (Raindrop)
nature_animal_bird_0006,data/corpus/nature/animal/nature_animal_bird_0006.wav,nature,animal,bird,Chirp_and_tweet;Chicken_and_rooster;Bird_vocalization_and_bird_call_and_bird_song;Bird;Wild_animals;Animal;Fowl;Livestock_and_farm_animals_and_working_animals,15.233,22050,FSD50K,102715.wav,CC-BY,,,,bird from FSD50K (Chirp_and_tweet)
music_percussion_hihat_0001,data/corpus/music/percussion/music_percussion_hihat_0001.wav,music,percussion,hihat,Hi-hat;Cymbal;Percussion;Musical_instrument;Music,0.914,22050,FSD50K,102780.wav,CC-BY,,,,hihat from FSD50K (Hi-hat)
music_percussion_hihat_0002,data/corpus/music/percussion/music_percussion_hihat_0002.wav,music,percussion,hihat,Hi-hat;Cymbal;Percussion;Musical_instrument;Music,1.3,22050,FSD50K,102789.wav,CC-BY,,,,hihat from FSD50K (Hi-hat)
urban_domestic_microwave_0001,data/corpus/urban/domestic/urban_domestic_microwave_0001.wav,urban,domestic,microwave,Microwave_oven;Domestic_sounds_and_home_sounds,12.969,22050,FSD50K,1028.wav,CC-BY,,,,microwave from FSD50K (Microwave_oven)
nature_human_chatter_0006,data/corpus/nature/human/nature_human_chatter_0006.wav,nature,human,chatter,Chatter;Stream;Trickle_and_dribble;Frog;Human_group_actions;Water;Pour;Liquid;Wild_animals;Animal,9.52,22050,FSD50K,102908.wav,CC-BY,,,,chatter from FSD50K (Chatter)
nature_water_stream_0001,data/corpus/nature/water/nature_water_stream_0001.wav,nature,water,stream,Stream;Trickle_and_dribble;Chirp_and_tweet;Insect;Water;Wild_animals;Animal;Pour;Liquid;Bird_vocalization_and_bird_call_and_bird_song;Bird,20.614,22050,FSD50K,102952.wav,CC-BY,,,,stream from FSD50K (Stream)
nature_water_drip_0003,data/corpus/nature/water/nature_water_drip_0003.wav,nature,water,drip,Drip;Trickle_and_dribble;Liquid;Pour,11.391,22050,FSD50K,102953.wav,CC-BY,,,,drip from FSD50K (Drip)
music_voice_singing_0002,data/corpus/music/voice/music_voice_singing_0002.wav,music,voice,singing,Singing;Human_voice,4.375,22050,FSD50K,102964.wav,CC-BY,,,,singing from FSD50K (Singing)
nature_human_speech_child_0001,data/corpus/nature/human/nature_human_speech_child_0001.wav,nature,human,speech_child,Child_speech_and_kid_speaking;Speech;Human_voice,1.441,22050,FSD50K,102965.wav,CC-BY,,,,speech_child from FSD50K (Child_speech_and_kid_speaking)
nature_animal_insect_0002,data/corpus/nature/animal/nature_animal_insect_0002.wav,nature,animal,insect,Cricket;Insect;Wild_animals;Animal,4.793,22050,FSD50K,102968.wav,CC-BY,,,,insect from FSD50K (Cricket)
nature_human_applause_0001,data/corpus/nature/human/nature_human_applause_0001.wav,nature,human,applause,Applause;Singing;Organ;Human_group_actions;Human_voice;Keyboard_(musical);Musical_instrument;Music,9.613,22050,FSD50K,102993.wav,CC-BY,,,,applause from FSD50K (Applause)
music_string_plucked_bass_guitar_0001,data/corpus/music/string_plucked/music_string_plucked_bass_guitar_0001.wav,music,string_plucked,bass_guitar,Bass_guitar;Clapping;Female_singing;Keyboard_(musical);Bell;Mallet_percussion;Musical_instrument;Music;Guitar;Plucked_string_instrument;Percussion;Hands;Singing;Human_voice,22.727,22050,FSD50K,102997.wav,CC-BY,,,,bass_guitar from FSD50K (Bass_guitar)
nature_human_laughing_0001,data/corpus/nature/human/nature_human_laughing_0001.wav,nature,human,laughing,Laughter;Human_voice,3.161,22050,FSD50K,103028.wav,CC-BY,,,,laughing from FSD50K (Laughter)
music_string_plucked_bass_guitar_0002,data/corpus/music/string_plucked/music_string_plucked_bass_guitar_0002.wav,music,string_plucked,bass_guitar,Bass_guitar;Female_singing;Male_singing;Keyboard_(musical);Drum;Drum_kit;Musical_instrument;Music;Percussion;Guitar;Plucked_string_instrument;Singing;Human_voice,6.217,22050,FSD50K,103029.wav,CC-BY,,,,bass_guitar from FSD50K (Bass_guitar)
nature_human_applause_0002,data/corpus/nature/human/nature_human_applause_0002.wav,nature,human,applause,Applause;Female_singing;Male_singing;Keyboard_(musical);Bell;Drum;Drum_kit;Musical_instrument;Music;Percussion;Human_group_actions;Singing;Human_voice,28.839,22050,FSD50K,103031.wav,CC-BY,,,,applause from FSD50K (Applause)
music_voice_male_singing_0001,data/corpus/music/voice/music_voice_male_singing_0001.wav,music,voice,male_singing,Male_singing;Percussion;Musical_instrument;Music;Singing;Human_voice,20.715,22050,FSD50K,103033.wav,CC-BY,,,,male_singing from FSD50K (Male_singing)
nature_animal_bird_0007,data/corpus/nature/animal/nature_animal_bird_0007.wav,nature,animal,bird,Chirp_and_tweet;Bird_vocalization_and_bird_call_and_bird_song;Bird;Wild_animals;Animal,18.331,22050,FSD50K,103073.wav,CC-BY,,,,bird from FSD50K (Chirp_and_tweet)
nature_animal_dog_0003,data/corpus/nature/animal/nature_animal_dog_0003.wav,nature,animal,dog,Bark;Dog;Domestic_animals_and_pets;Animal,11.76,22050,FSD50K,103076.wav,CC-BY,,,,dog from FSD50K (Bark)
urban_alarm_alarm_0003,data/corpus/urban/alarm/urban_alarm_alarm_0003.wav,urban,alarm,alarm,Telephone;Alarm,2.29,22050,FSD50K,1032.wav,CC-BY,,,,alarm from FSD50K (Alarm)
nature_fire_crackle_0001,data/corpus/nature/fire/nature_fire_crackle_0001.wav,nature,fire,crackle,Crackle;Fire,18.681,22050,FSD50K,103333.wav,CC-BY,,,,crackle from FSD50K (Crackle)
music_voice_female_singing_0001,data/corpus/music/voice/music_voice_female_singing_0001.wav,music,voice,female_singing,Female_singing;Singing;Human_voice,11.689,22050,FSD50K,103355.wav,CC-BY,,,,female_singing from FSD50K (Female_singing)
urban_impact_slam_0001,data/corpus/urban/impact/urban_impact_slam_0001.wav,urban,impact,slam,Slam;Car;Motor_vehicle_(road);Vehicle;Door;Domestic_sounds_and_home_sounds,0.836,22050,FSD50K,103373.wav,CC-BY,,,,slam from FSD50K (Slam)
nature_human_breathing_0001,data/corpus/nature/human/nature_human_breathing_0001.wav,nature,human,breathing,Breathing;Respiratory_sounds,2.41,22050,FSD50K,103576.wav,CC-BY,,,,breathing from FSD50K (Breathing)
urban_impact_squeak_0003,data/corpus/urban/impact/urban_impact_squeak_0003.wav,urban,impact,squeak,Squeak;Walk_and_footsteps;Run,4.793,22050,FSD50K,103650.wav,CC-BY,,,,squeak from FSD50K (Squeak)
nature_water_pour_0001,data/corpus/nature/water/nature_water_pour_0001.wav,nature,water,pour,Trickle_and_dribble;Bathtub_(filling_or_washing);Water_tap_and_faucet;Pour;Liquid;Domestic_sounds_and_home_sounds,5.28,22050,FSD50K,1037.wav,CC-BY,,,,pour from FSD50K (Pour)
nature_human_laughing_0002,data/corpus/nature/human/nature_human_laughing_0002.wav,nature,human,laughing,Laughter;Human_voice,16.868,22050,FSD50K,104110.wav,CC-BY,,,,laughing from FSD50K (Laughter)
urban_machine_engine_0003,data/corpus/urban/machine/urban_machine_engine_0003.wav,urban,machine,engine,Motorcycle;Engine;Laughter;Human_voice;Motor_vehicle_(road);Vehicle,22.358,22050,FSD50K,1042.wav,CC-BY,,,,engine from FSD50K (Engine)
music_percussion_cymbal_0001,data/corpus/music/percussion/music_percussion_cymbal_0001.wav,music,percussion,cymbal,Crash_cymbal;Cymbal;Percussion;Musical_instrument;Music,7.586,22050,FSD50K,104209.wav,CC-BY,,,,cymbal from FSD50K (Crash_cymbal)
music_percussion_cymbal_0002,data/corpus/music/percussion/music_percussion_cymbal_0002.wav,music,percussion,cymbal,Crash_cymbal;Cymbal;Percussion;Musical_instrument;Music,8.204,22050,FSD50K,104210.wav,CC-BY,,,,cymbal from FSD50K (Crash_cymbal)
music_percussion_cymbal_0003,data/corpus/music/percussion/music_percussion_cymbal_0003.wav,music,percussion,cymbal,Crash_cymbal;Cymbal;Percussion;Musical_instrument;Music,7.777,22050,FSD50K,104212.wav,CC-BY,,,,cymbal from FSD50K (Crash_cymbal)
music_percussion_cymbal_0004,data/corpus/music/percussion/music_percussion_cymbal_0004.wav,music,percussion,cymbal,Crash_cymbal;Cymbal;Percussion;Musical_instrument;Music,4.473,22050,FSD50K,104214.wav,CC-BY,,,,cymbal from FSD50K (Crash_cymbal)
music_percussion_cymbal_0005,data/corpus/music/percussion/music_percussion_cymbal_0005.wav,music,percussion,cymbal,Crash_cymbal;Cymbal;Percussion;Musical_instrument;Music,6.8,22050,FSD50K,104218.wav,CC-BY,,,,cymbal from FSD50K (Crash_cymbal)
music_percussion_hihat_0004,data/corpus/music/percussion/music_percussion_hihat_0004.wav,music,percussion,hihat,Hi-hat;Cymbal;Percussion;Musical_instrument;Music,0.634,22050,FSD50K,104224.wav,CC-BY,,,,hihat from FSD50K (Hi-hat)
music_percussion_hihat_0005,data/corpus/music/percussion/music_percussion_hihat_0005.wav,music,percussion,hihat,Hi-hat;Cymbal;Percussion;Musical_instrument;Music,2.005,22050,FSD50K,104225.wav,CC-BY,,,,hihat from FSD50K (Hi-hat)
music_percussion_hihat_0006,data/corpus/music/percussion/music_percussion_hihat_0006.wav,music,percussion,hihat,Hi-hat;Cymbal;Percussion;Musical_instrument;Music,1.791,22050,FSD50K,104228.wav,CC-BY,,,,hihat from FSD50K (Hi-hat)
music_percussion_hihat_0007,data/corpus/music/percussion/music_percussion_hihat_0007.wav,music,percussion,hihat,Hi-hat;Cymbal;Percussion;Musical_instrument;Music,1.084,22050,FSD50K,104229.wav,CC-BY,,,,hihat from FSD50K (Hi-hat)
music_percussion_hihat_0008,data/corpus/music/percussion/music_percussion_hihat_0008.wav,music,percussion,hihat,Hi-hat;Cymbal;Percussion;Musical_instrument;Music,1.095,22050,FSD50K,104231.wav,CC-BY,,,,hihat from FSD50K (Hi-hat)
music_percussion_cymbal_0006,data/corpus/music/percussion/music_percussion_cymbal_0006.wav,music,percussion,cymbal,Cymbal;Percussion;Musical_instrument;Music,5.337,22050,FSD50K,104235.wav,CC-BY,,,,cymbal from FSD50K (Cymbal)
music_percussion_snare_drum_0001,data/corpus/music/percussion/music_percussion_snare_drum_0001.wav,music,percussion,snare_drum,Snare_drum;Drum;Percussion;Musical_instrument;Music,1.26,22050,FSD50K,104243.wav,CC-BY,,,,snare_drum from FSD50K (Snare_drum)
music_percussion_snare_drum_0002,data/corpus/music/percussion/music_percussion_snare_drum_0002.wav,music,percussion,snare_drum,Snare_drum;Drum;Percussion;Musical_instrument;Music,1.324,22050,FSD50K,104244.wav,CC-BY,,,,snare_drum from FSD50K (Snare_drum)
music_percussion_snare_drum_0003,data/corpus/music/percussion/music_percussion_snare_drum_0003.wav,music,percussion,snare_drum,Snare_drum;Drum;Percussion;Musical_instrument;Music,0.851,22050,FSD50K,104248.wav,CC-BY,,,,snare_drum from FSD50K (Snare_drum)
music_percussion_cymbal_0007,data/corpus/music/percussion/music_percussion_cymbal_0007.wav,music,percussion,cymbal,Cymbal;Percussion;Musical_instrument;Music,4.097,22050,FSD50K,104251.wav,CC-BY,,,,cymbal from FSD50K (Cymbal)
urban_transport_bus_0002,data/corpus/urban/transport/urban_transport_bus_0002.wav,urban,transport,bus,Bus;Door;Engine;Domestic_sounds_and_home_sounds;Motor_vehicle_(road);Vehicle,6.0,22050,FSD50K,104275.wav,CC-BY,,,,bus from FSD50K (Bus)
